tier,name,type,url,email,phone,rating,review_count,address,outreach_status,notes
1,L'Antichambre Escape Games - Boulevard Saint-Martin,Service de fête,https://www.lantichambre.paris/,,01 75 51 56 84,4.7,1355,Paris,pending,
1,L'Antichambre Escape Games - Blondel,Service de fête,https://www.lantichambre.paris/,,01 48 04 89 73,4.8,829,Paris,pending,
1,Crazy EVG,Agence spécialisée organisation fêtes,https://www.crazy-evg.com/,,,4.6,596,"8 Rue du Faubourg Poissonnière, 75010 Paris",pending,
1,Jardins du Pont Neuf,Espace événementiel,http://lesjardinsdupontneuf.com/,,06 30 15 83 02,4.3,445,"Quai de l'Horloge, 75001 Paris",pending,
1,Agence d'hôtesses La Belle Equipe,Organisateur d'événements,https://www.agence-labelleequipe.com/,,01 88 32 85 87,4.7,372,"12 Bd de Bonne Nouvelle, 75010 Paris",pending,
1,Comet Meetings - Place des Victoires,Espace événementiel,https://www.comet-meetings.com/lieux/comet-place-des-victoires/,,01 84 80 67 00,4.6,263,"Place des Victoires, Paris",pending,
1,Boulotte,Traiteur,https://www.boulotte.com/,,07 59 57 73 28,4.8,260,"314 Rue Saint-Martin, 75003 Paris",pending,
1,LE SCARLETT PARIS,Agence événementielle,http://www.lescarlett.fr/,,01 56 81 79 49,4.3,259,Paris 5e,pending,
1,Qui Veut Pister Paris,Organisateur d'événements,http://www.quiveutpister.com/,,06 38 58 90 51,4.9,256,"20 Pass. Saint-Sébastien, 75011 Paris",pending,
1,LoL Evènements,Agence spécialisée organisation fêtes,https://lolevenements.fr/,,07 78 68 99 37,4.9,242,"3 Rue Bleue, 75009 Paris",pending,
1,POTEL ET CHABOT,Espace événementiel,https://www.potel-chabot.com/,,01 47 20 04 05,4.5,207,Paris,pending,
1,Comet Meetings - Bourse,Espace événementiel,https://www.comet-meetings.com/lieux/comet-bourse/,,01 84 80 67 00,4.6,206,Paris 2e (Bourse),pending,
2,Le Privé Paris,Agence événementielle,http://www.lepriveparis.com/,,,4.7,185,"2 Rue des Anglais, 75005 Paris",pending,
2,HAPPY COTILLONS Event,Organisateur d'événements,http://www.happy-animation.com/,,06 68 24 64 33,4.7,179,"67 Rue Saint-Jacques, 75005 Paris",pending,
2,EVJF PARIS,Organisateur d'événements,https://www.evjf.paris/,,06 80 88 05 60,4.8,169,"52 Rue du Faubourg Saint-Martin, 75010 Paris",pending,
2,Mauvaise Barbe,Agence événementielle,https://mauvaisebarbe.fr/,,06 46 60 40 66,4.9,154,"229 Rue Saint-Honoré, 75001 Paris",pending,
2,Ever Events,Organisateur d'événements,https://www.ever-events.fr/,,06 69 46 40 34,5.0,143,"16 Rue du Pont Neuf, 75001 Paris",pending,
2,MADCITYZEN,Agence événementielle,http://www.madcityzen.fr/,,01 84 20 40 20,4.8,140,"14 Av. de l'Opéra, 75001 Paris",pending,
2,Au Charbon - Salle À Louer,Salle de réception,http://aucharbonparis.fr/,,06 64 68 05 71,4.9,137,Paris 10e,pending,
2,EVENT SC PARIS,Agence événementielle,https://www.eventscparis.com/,,06 47 88 47 06,5.0,136,"10 Rue de la Paix, 75002 Paris",pending,
2,Agence Paloma,Agence événementielle,https://www.agencepaloma.com/,,09 72 62 28 60,4.9,129,"101 Rue de Sèvres, 75006 Paris",pending,
2,Naboo,Agence événementielle,https://www.naboo.app/,,01 89 71 33 94,5.0,121,"7 Rue de Paradis, 75010 Paris",pending,
2,La Fabrique République,Service organisation événements pros,https://www.fabrique-evenementielle.fr/la-fabrique-republique,,,4.4,121,Paris 11e,pending,
2,ALLIANCE EVENEMENT,Agence événementielle,http://www.allianceevenement.com/,,09 73 88 25 32,4.8,118,"42 Rue Monge, 75005 Paris",pending,
2,#Cloud Business Center,Espace événementiel,https://www.prestige-sodexo.com/collection/cloud-business-center,,06 09 69 44 60,4.3,116,"10 bis Rue du 4 septembre, 75002 Paris",pending,
2,L'Atelier Richelieu,Salle de réception,http://www.atelierrichelieu.com/,,01 42 33 94 05,4.4,113,"60 Rue de Richelieu, 75002 Paris",pending,
2,INNOV'events,Agence événementielle,https://www.agence-evenementielle-innovevents.fr/,,09 67 71 73 13,5.0,106,Paris,pending,
2,Team Tonic Services,Agence événementielle,https://teambuilding-teamtonic.com/,,06 42 10 94 33,4.9,101,"105 Rue des Moines, 75017 Paris",pending,
2,Atout Coeur Wedding,Organisateur d'événements,http://www.atoutcoeurwedding.paris/,,06 07 38 02 90,4.9,95,"54 Rue Greneta, 75002 Paris",pending,
2,Happy Guily,Organisateur d'événements,http://www.happyguily.com/,,06 22 17 73 34,4.7,86,Paris,pending,
2,Love Picnic Paris,Organisateur d'événements,https://www.lovepicnicparis.com/,,06 24 96 71 57,4.9,77,"55 Rue Réaumur, 75002 Paris",pending,
2,Alejandra Poupel Events and Design,Organisateur d'événements,http://alejandrapoupel.com/,,01 40 81 03 37,4.1,76,"6 Av. Matignon, 75008 Paris",pending,
2,Cocoon Space - Louvre,Espace événementiel,https://www.cocoon-space.com/venues/louvre,,09 75 18 18 92,4.4,73,"44 Rue du Louvre, 75001 Paris",pending,
2,Les Petites Mascarades,Agence événementielle,https://lespetitesmascarades.com/,,06 52 33 34 24,5.0,70,"60 Rue François 1er, 75008 Paris",pending,
2,JOUR & NUIT,Agence événementielle,http://www.jouretnuit.paris/,,01 40 28 16 82,4.8,65,"231 Rue Saint-Honoré, 75001 Paris",pending,
2,Jéremy Magicien,Organisateur d'événements,https://www.jeremy-magicien.com/,,06 29 84 79 99,5.0,63,"205 Rue Saint-Honoré, 75001 Paris",pending,
2,Les Salons Parisiens,Agence événementielle,https://www.lessalonsparisiens.com/,,,4.7,61,Paris 9e,pending,
2,MYevent Evénementiel Paris,Agence événementielle,http://www.my-event.com/,,,4.9,60,"192 Bd Voltaire, 75011 Paris",pending,
2,YALA! Event Agency,Organisateur d'événements,https://www.yala.agency/,,,4.9,56,"15 Rue des Halles, 75001 Paris",pending,
2,DK Ambassador,Professionnel de l'organisation,http://www.dkambassador.com/,,06 68 64 25 21,5.0,55,"231 Rue Saint-Honoré, 75001 Paris",pending,
2,Fitz Group,Agence événementielle,https://www.fitz-group.fr/,,01 83 64 81 60,4.6,55,"44 Rue Notre Dame des Victoires, 75002 Paris",pending,
2,Blind Test Live Event,Service organisation événements pros,https://www.blindtestlive.com/,,06 30 33 86 31,5.0,50,"26 Rue du 4 septembre, 75002 Paris",pending,
3,MS Private Events,Organisateur d'événements,https://msprivateevents.fr/,,06 69 41 52 82,4.7,48,"1 Rue de Stockholm, 75008 Paris",pending,
3,Mystère Gourmand,Organisateur d'événements,http://mysteregourmand.com/,,07 66 42 82 93,5.0,48,"229 Rue Saint-Honoré, 75001 Paris",pending,
3,Agence WATO (We Are The Oracle),Agence événementielle,https://agence-wato.com/,,01 84 17 70 45,5.0,47,"12 Rue Montmartre, 75001 Paris",pending,
3,Rêve en Or Animation,Organisateur d'événements,http://www.reveenor.fr/,,06 99 27 18 69,4.5,45,"88 Rue Saint Honoré, 75001 Paris",pending,
3,Lieux d'Émotions,Agence événementielle,http://www.lieuxdemotions.fr/,,01 49 29 50 50,4.0,35,"10 Rue Saint-Marc, 75002 Paris",pending,
3,aoyos,Agence événementielle,http://www.aoyos.fr/,,,4.8,32,"15 Rue des Halles, 75001 Paris",pending,
3,Agence LB,Organisateur d'événements,http://www.agencelb.fr/,,,5.0,32,"10 Rue de Penthièvre, 75008 Paris",pending,
3,Fête In France,Agence spécialisée organisation fêtes,https://feteinfrance.com/,,,5.0,31,"17 Rue du Temple, 75004 Paris",pending,
3,Mademoiselle M,Organisateur d'événements,http://mademoisellem.com/,,01 42 36 16 02,4.8,29,"19 Rue de Palestro, 75002 Paris",pending,
3,Une Salle A Paris,Agence événementielle,https://www.unesalleaparis.com/,,07 81 29 45 72,4.9,28,Paris,pending,
3,Le Loft OSMOZ,Espace événementiel,http://www.osmoz.work/,,06 75 18 69 32,4.9,28,"10 Rue Roger Verlomme, 75003 Paris",pending,
3,Casino Beach Events C.B.E,Organisateur d'événements,https://casinosoiree.fr/,,07 89 54 42 76,4.5,27,"91 Rue du Faubourg Saint-Honoré, 75008 Paris",pending,
3,FREDDOX ÉLITE EVENTS,Prestataire de mariage,https://freddox-elite-events.fr/,,07 60 43 41 02,5.0,26,Paris,pending,
3,Animaux Events,Agence événementielle,https://animaux.bar/events/,,,5.0,26,Paris,pending,
3,Tea Loft,Organisateur d'événements,http://letealoft.fr/,,01 83 81 99 21,4.4,24,"16 Rue du Faubourg Saint-Denis, 75010 Paris",pending,
3,Paris Society Events,Organisateur d'événements,https://paris-society-events.com/,,01 45 26 04 58,3.2,24,"38 Av. des Champs-Élysées, 75008 Paris",pending,
3,Kymono Life,Organisateur d'événements,https://www.kymonolife.co/,,,5.0,24,"8 Rue Danielle Casanova, 75002 Paris",pending,
3,Amazing Events Paris,Agence événementielle,https://amazingeventsparis.com/,,06 60 20 06 10,5.0,23,"161 Bd Voltaire, 75011 Paris",pending,
3,For Event,Agence événementielle,https://forevent.fr/,,01 48 44 48 70,4.8,23,"20 Rue Voltaire, 93100 Montreuil",pending,
3,Ouilo,Agence événementielle,http://ouilo.net/,,06 19 61 94 19,5.0,22,"229 Rue Saint-Honoré, 75001 Paris",pending,
3,Feel Free Records,Organisateur d'événements,https://feelfreerecords.com/,,,5.0,21,"402 Rue Saint-Honoré, 75001 Paris",pending,
3,Maison Wellness,Agence événementielle,https://www.maison-wellness.com/,,06 46 60 40 66,4.8,20,"229 Rue Saint-Honoré, 75001 Paris",pending,
3,La Fabrique Marais,Salle de réception,https://www.fabrique-evenementielle.fr/la-fabrique-marais,,,4.8,20,Paris 4e,pending,
3,AnimationEvenement.com,Animateur de soirées,http://www.animationevenement.com/,,,4.6,19,"23 Pass. de la Main d'Or, 75011 Paris",pending,
3,Moon Event,Agence événementielle,https://www.moon-event.fr/,,09 83 23 43 14,4.5,19,"66 Bis Av. Victor Cresson, 92130 Issy-les-Moulineaux",pending,
3,Agence 008,Agence événementielle,https://www.agence008.com/,,01 53 63 87 34,5.0,17,"18 Rue des Blancs Manteaux, 75004 Paris",pending,
3,Ma Langue au Chat,Organisateur d'événements,http://www.malangueauchat.com/,,01 44 92 93 94,4.6,16,"58 Rue Jean-Jacques Rousseau, 75001 Paris",pending,
3,Kaskad République,Salle de réception,https://kaskadrepublique.com/,,06 60 90 98 10,4.8,16,Paris 10e,pending,
3,Team Building Paris by DAMA,Agence événementielle,https://team-building-paris.com/,,06 37 20 60 37,5.0,15,"40 Rue du Louvre, 75001 Paris",pending,
3,EVENEMENT PARIS,Agence événementielle,http://evenementparis.fr/,,01 45 06 00 86,5.0,15,"10 Av. Georges Pompidou, 92593 Levallois-Perret",pending,
3,Life'S Events Wedding Planner,Agence événementielle,http://www.lifeevents.fr/,,06 48 48 03 82,4.8,14,"14 Av. de l'Opéra, 75001 Paris",pending,
3,Opaline Paris,Organisateur de mariages,http://www.opalineparis.com/,,06 62 06 03 18,5.0,14,"229 Rue Saint-Honoré, 75001 Paris",pending,
3,Kampai,Organisateur d'événements,http://www.kampai-events.fr/,,,4.8,12,"146 Rue Montmartre, 75002 Paris",pending,
3,Robin Wood and Co,Agence événementielle,https://robinwoodandco.com/,,06 75 86 27 26,4.6,11,"46bis Av. du Maine, 75015 Paris",pending,
3,Lieux Atypiques,Agence événementielle,http://www.lieuxatypiques.com/,,01 84 19 09 87,4.9,10,"108 Rue Vieille du Temple, 75003 Paris",pending,
3,RIPAILLES Conseil & Evènementiel,Agence événementielle,https://ripailles.paris/,,06 81 97 32 22,4.9,10,"3 Rue Gabriel Laumain, 75010 Paris",pending,
3,Photographe événementiel,Agence événementielle,https://photographeparisevenementiel.wordpress.com/,,06 64 73 67 50,5.0,9,"17 Rue St Denis, 75001 Paris",pending,
3,Super Spot,Salle de réception,https://www.superspot.fr/,,,5.0,9,Paris,pending,
3,KCO,Agence événementielle,http://www.kco.fr/,,,4.0,8,"10 Rue de Paradis, 75010 Paris",pending,
3,Mille et Une Féeries,Organisateur d'événements,http://www.milleetunefeeries.fr/,,06 43 54 51 26,3.9,7,"27 Bd Saint-Martin, 75003 Paris",pending,
3,Wikevent,Agence événementielle,https://www.wikevent.fr/,,06 09 39 67 65,5.0,7,"10 Rue de la Paix, 75002 Paris",pending,
3,Paris événement,Agence événementielle,http://www.paris-evenement.fr/,,01 40 29 19 85,4.9,7,"17 Rue des Gâtines, 75020 Paris",pending,
3,Nino Agency,Agence événementielle,https://www.ninoagency.com/,,07 66 92 45 26,4.8,6,Paris,pending,
3,Weddinglight Events,Organisateur d'événements,http://www.weddinglightevents.com/,,06 24 96 71 57,4.6,5,"55 Rue Réaumur, 75002 Paris",pending,
3,PARADIS EVENTS,Organisateur d'événements,http://www.paradisevents.fr/,,06 67 75 10 58,3.4,5,,pending,
3,Bar'Prestige,Agence événementielle,https://bonnelled.wixsite.com/barprestige,,07 52 62 94 46,4.2,5,"8 Bd Saint-Martin, 75010 Paris",pending,
3,Paris Exclusif,Agence événementielle,,,01 73 79 02 10,5.0,5,"14 Rue Falguière, 75015 Paris",pending,
3,Réunir,Organisateur d'événements,http://www.reunir.com/,,01 53 61 60 00,5.0,4,"260 Rue Saint-Honoré, 75001 Paris",pending,
3,Agence Bonchar,Agence événementielle,https://agencebonchar.com/,,,5.0,4,"209 Rue Saint-Honoré, 75001 Paris",pending,
3,Make it Happen Paris,Agence événementielle,https://makeithappen-paris.com/,,06 63 62 68 05,5.0,4,"48 Rue de Turenne, 75003 Paris",pending,
3,IN VIVO AND CO,Agence événementielle,http://invivo-co.com/,,01 83 39 03 81,4.0,4,"320 Rue Saint-Honoré, 75001 Paris",pending,
3,The Red Carpet,Organisateur d'événements,http://theredcarpet.fr/,,,5.0,4,"25 Rue de l'Arcade, 75008 Paris",pending,
3,Goodwill Travel,Agence événementielle,https://goodwilltravel.fr/,,06 12 77 17 16,4.3,4,"259 Rue Saint-Honoré, 75001 Paris",pending,
3,Nazareth Market Paris,Organisateur d'événements,http://www.nama-paris.fr/,,06 36 02 62 60,4.7,3,"43 Rue Notre Dame de Nazareth, 75003 Paris",pending,
3,Espace evenement,Agence événementielle,http://www.espaceevenement.com/,,01 42 33 01 64,5.0,2,"5 Rue Coq Héron, 75001 Paris",pending,
3,L'Aparté Palestro,Organisateur d'événements,https://www.lesapartes.com/locations/appartement-evenementiel-palestro,,01 84 80 52 02,4.5,2,"29 Rue de Palestro, 75002 Paris",pending,
3,DAVID SULLO EVENTS,Organisateur d'événements,,,06 18 01 21 55,5.0,2,"34 Rue Sainte-Anne, 75001 Paris",pending,
3,Espace Evénementiel,Organisateur d'événements,http://espace-evenementiel.com/,,,3.5,2,"7 Cité Dupetit-Thouars, 75003 Paris",pending,
3,Brotherswing,Organisateur d'événements,https://www.brotherswing.fr/,,,5.0,2,"42 Rue Pierre Fontaine, 75009 Paris",pending,
3,LadyDJ Paris FEMME DJ,Agence événementielle,https://www.ladydj.fr/,,06 62 02 44 04,5.0,2,"11 Bd Malesherbes, 75008 Paris",pending,
3,Hors-Concept,Agence événementielle,http://www.hors-concept.com/,,01 85 09 25 78,5.0,1,"28 Rue Meslay, 75003 Paris",pending,
3,Luxury International D'Antoni,Agence événementielle,https://pluxury.wixsite.com/my-site,,01 89 86 27 50,5.0,1,"231 Rue Saint-Honoré, 75001 Paris",pending,
3,New Deal,Organisateur d'événements,https://human-music.eu/new-deal-accueil/,,,5.0,1,"42 Rue du Louvre, 75001 Paris",pending,
3,ode-agence (Organisateur d'Évènement),Organisateur d'événements,http://www.ode-agence.com/,,06 69 96 13 37,5.0,1,"58 Rue de Monceau, 75008 Paris",pending,
3,ISOMETRIC EVENTS,Organisateur d'événements,http://www.isometricevents.com/,,01 87 05 55 78,5.0,1,Paris,pending,
