name,type,url,rating,review_count,address,phone,outreach_status,notes
L'Antichambre Escape Games - Boulevard Saint-Martin,Service de fête,https://www.lantichambre.paris/,4.7,1355,Paris,01 75 51 56 84,pending,
L'Antichambre Escape Games - Blondel,Service de fête,https://www.lantichambre.paris/,4.8,829,Paris,01 48 04 89 73,pending,
Transitions Pro Île-de-France,Organisme à but non lucratif,http://www.transitionspro-idf.fr/,3.9,627,Paris,01 44 10 58 58,pending,
Crazy EVG,Agence spécialisée organisation fêtes,https://www.crazy-evg.com/,4.6,596,"8 Rue du Faubourg Poissonnière, 75010 Paris",,pending,
Privateaser,Organisateur d'événements,https://www.privateaser.com/,4.7,460,"42 Rue Marguerite de Rochechouart, 75009 Paris",01 76 42 03 86,pending,
Jardins du Pont Neuf,Espace événementiel,http://lesjardinsdupontneuf.com/,4.3,445,"Quai de l'Horloge, 75001 Paris",06 30 15 83 02,pending,
Agence d'hôtesses La Belle Equipe,Organisateur d'événements,https://www.agence-labelleequipe.com/,4.7,372,"12 Bd de Bonne Nouvelle, 75010 Paris",01 88 32 85 87,pending,
Comet Meetings - Place des Victoires,Espace événementiel,https://www.comet-meetings.com/lieux/comet-place-des-victoires/,4.6,263,"Place des Victoires, Paris",01 84 80 67 00,pending,
Boulotte,Traiteur,https://www.boulotte.com/,4.8,260,"314 Rue Saint-Martin, 75003 Paris",07 59 57 73 28,pending,
LE SCARLETT PARIS,Agence événementielle,http://www.lescarlett.fr/,4.3,259,Paris 5e,01 56 81 79 49,pending,
Qui Veut Pister Paris,Organisateur d'événements,http://www.quiveutpister.com/,4.9,256,"20 Pass. Saint-Sébastien, 75011 Paris",06 38 58 90 51,pending,
LoL Evènements,Agence spécialisée organisation fêtes,https://lolevenements.fr/,4.9,242,"3 Rue Bleue, 75009 Paris",07 78 68 99 37,pending,
SnapEvent,Agence événementielle,https://www.snapevent.fr/,4.8,235,"142 Rue du Faubourg Saint-Denis, 75010 Paris",01 76 42 02 10,pending,
WESTOTEL Taverny - Paris Val-d'Oise,Hôtel événementiel,https://www.westotel.com/taverny-paris-val-doise/,4.1,231,"1 Rue Marie Sklodowska-Curie, 95150 Taverny",,pending,
POTEL ET CHABOT,Espace événementiel,https://www.potel-chabot.com/,4.5,207,Paris,01 47 20 04 05,pending,
Comet Meetings - Bourse,Espace événementiel,https://www.comet-meetings.com/lieux/comet-bourse/,4.6,206,Paris 2e (Bourse),01 84 80 67 00,pending,
Le Privé Paris,Agence événementielle,http://www.lepriveparis.com/,4.7,185,"2 Rue des Anglais, 75005 Paris",,pending,
HAPPY COTILLONS Event,Organisateur d'événements,http://www.happy-animation.com/,4.7,179,"67 Rue Saint-Jacques, 75005 Paris",06 68 24 64 33,pending,
EVJF PARIS,Organisateur d'événements,https://www.evjf.paris/,4.8,169,"52 Rue du Faubourg Saint-Martin, 75010 Paris",06 80 88 05 60,pending,
Mauvaise Barbe,Agence événementielle,https://mauvaisebarbe.fr/,4.9,154,"229 Rue Saint-Honoré, 75001 Paris",06 46 60 40 66,pending,
Ever Events,Organisateur d'événements,https://www.ever-events.fr/,5.0,143,"16 Rue du Pont Neuf, 75001 Paris",06 69 46 40 34,pending,
MADCITYZEN,Agence événementielle,http://www.madcityzen.fr/,4.8,140,"14 Av. de l'Opéra, 75001 Paris",01 84 20 40 20,pending,
Au Charbon - Salle À Louer,Salle de réception,http://aucharbonparis.fr/,4.9,137,Paris 10e,06 64 68 05 71,pending,
EVENT SC PARIS,Agence événementielle,https://www.eventscparis.com/,5.0,136,"10 Rue de la Paix, 75002 Paris",06 47 88 47 06,pending,
Agence Paloma,Agence événementielle,https://www.agencepaloma.com/,4.9,129,"101 Rue de Sèvres, 75006 Paris",09 72 62 28 60,pending,
Kactus,Service tech organisation événements,http://www.kactus.com/,4.7,126,"29 Rue Taitbout, 75009 Paris",01 84 80 92 92,pending,
Naboo,Agence événementielle,https://www.naboo.app/,5.0,121,"7 Rue de Paradis, 75010 Paris",01 89 71 33 94,pending,
La Fabrique République,Service organisation événements pros,https://www.fabrique-evenementielle.fr/la-fabrique-republique,4.4,121,Paris 11e,,pending,
ALLIANCE EVENEMENT,Agence événementielle,http://www.allianceevenement.com/,4.8,118,"42 Rue Monge, 75005 Paris",09 73 88 25 32,pending,
#Cloud Business Center,Espace événementiel,https://www.prestige-sodexo.com/collection/cloud-business-center,4.3,116,"10 bis Rue du 4 septembre, 75002 Paris",06 09 69 44 60,pending,
L'Atelier Richelieu,Salle de réception,http://www.atelierrichelieu.com/,4.4,113,"60 Rue de Richelieu, 75002 Paris",01 42 33 94 05,pending,
INNOV'events,Agence événementielle,https://www.agence-evenementielle-innovevents.fr/,5.0,106,Paris,09 67 71 73 13,pending,
Team Tonic Services,Agence événementielle,https://teambuilding-teamtonic.com/,4.9,101,"105 Rue des Moines, 75017 Paris",06 42 10 94 33,pending,
Atout Coeur Wedding,Organisateur d'événements,http://www.atoutcoeurwedding.paris/,4.9,95,"54 Rue Greneta, 75002 Paris",06 07 38 02 90,pending,
Home Striptease,Animateur de soirées,https://www.home-striptease.fr/,5.0,93,"15 Rue des Halles, 75001 Paris",,pending,
Digitevent,Entreprise de logiciels événementiels,https://www.digitevent.com/,5.0,87,"36 Rue Vivienne, 75002 Paris",01 77 69 50 75,pending,
Happy Guily,Organisateur d'événements,http://www.happyguily.com/,4.7,86,Paris,06 22 17 73 34,pending,
Love Picnic Paris,Organisateur d'événements,https://www.lovepicnicparis.com/,4.9,77,"55 Rue Réaumur, 75002 Paris",06 24 96 71 57,pending,
Alejandra Poupel Events and Design,Organisateur d'événements,http://alejandrapoupel.com/,4.1,76,"6 Av. Matignon, 75008 Paris",01 40 81 03 37,pending,
Cocoon Space - Louvre,Espace événementiel,https://www.cocoon-space.com/venues/louvre,4.4,73,"44 Rue du Louvre, 75001 Paris",09 75 18 18 92,pending,
Les Petites Mascarades,Agence événementielle,https://lespetitesmascarades.com/,5.0,70,"60 Rue François 1er, 75008 Paris",06 52 33 34 24,pending,
JOUR & NUIT,Agence événementielle,http://www.jouretnuit.paris/,4.8,65,"231 Rue Saint-Honoré, 75001 Paris",01 40 28 16 82,pending,
Paris je t'aime - Office de Tourisme,Office du tourisme,http://www.parisjetaime.com/,3.9,64,Paris,,pending,
Jéremy Magicien,Organisateur d'événements,https://www.jeremy-magicien.com/,5.0,63,"205 Rue Saint-Honoré, 75001 Paris",06 29 84 79 99,pending,
Les Salons Parisiens,Agence événementielle,https://www.lessalonsparisiens.com/,4.7,61,Paris 9e,,pending,
MYevent Evénementiel Paris,Agence événementielle,http://www.my-event.com/,4.9,60,"192 Bd Voltaire, 75011 Paris",,pending,
